unsure_mode	pass_frac	qa_type	n	acc_gem	acc_gpt	diff	b	c	mcnemar_p	cluster_diff_mean	cluster95_lo	cluster95_hi	leader_matches_pf75
exclude	0.75	3	332	0.45481927710843373	0.5542168674698795	-0.0993975903614458	45	78	0.0037314457550981723	-0.09967213834435411	-0.16617210682492584	-0.03498288019526748	True
exclude	0.8	1	225	0.64	0.5644444444444444	0.0755555555555556	45	28	0.060370037339928545	0.07559597714246322	0.0	0.15021459227467804	True
exclude	0.8	2	265	0.6226415094339622	0.5509433962264151	0.07169811320754715	53	34	0.05300311301096222	0.07130704575221455	0.0	0.14056381777108434	True
exclude	0.8	3	271	0.47601476014760147	0.5719557195571956	-0.09594095940959413	36	62	0.011174544214771171	-0.09661024856971333	-0.16666666666666669	-0.02777537485582462	True
exclude	0.85	1	225	0.64	0.5644444444444444	0.0755555555555556	45	28	0.060370037339928545	0.07494202747858106	0.0	0.14864864864864868	True
exclude	0.85	2	265	0.6226415094339622	0.5509433962264151	0.07169811320754715	53	34	0.05300311301096222	0.07201160803732735	0.003845785440613015	0.14015151515151514	True
exclude	0.85	3	241	0.4854771784232365	0.5684647302904564	-0.0829875518672199	34	54	0.04221061162240416	-0.0825996085803529	-0.1592968034787916	-0.004310344827586188	True
exclude	0.9	1	84	0.6428571428571429	0.5476190476190477	0.09523809523809523	17	9	0.16863754391670227	0.09537064361194586	-0.023255813953488302	0.21176470588235297	True
exclude	0.9	2	63	0.5555555555555556	0.5555555555555556	0.0	11	11	1.0	2.7733198231272072e-05	-0.14290890269151138	0.14754098360655737	False
exclude	0.9	3	104	0.4423076923076923	0.5384615384615384	-0.09615384615384615	15	25	0.1538599441628321	-0.09587434363991623	-0.21052631578947367	0.019607843137254943	True
exclude	0.95	1	84	0.6428571428571429	0.5476190476190477	0.09523809523809523	17	9	0.16863754391670227	0.09558883491785505	-0.023255813953488413	0.20987654320987653	True
exclude	0.95	2	63	0.5555555555555556	0.5555555555555556	0.0	11	11	1.0	0.0018210804117417528	-0.140625	0.14754098360655743	False
