unsure_mode	pass_frac	qa_type	model	n	accuracy
exclude	0.95	2	gemini31flashlite	63	0.4126984126984127
exclude	0.95	2	gpt54mini	63	0.5873015873015873
exclude	0.95	3	gpt55	58	0.5344827586206896
exclude	0.95	3	gemini31pro	58	0.39655172413793105
exclude	0.95	3	gemini31flashlite	58	0.1724137931034483
exclude	0.95	3	gpt54mini	58	0.46551724137931033
exclude	1.0	1	gpt55	84	0.5476190476190477
exclude	1.0	1	gemini31pro	84	0.6428571428571429
exclude	1.0	1	gemini31flashlite	84	0.4523809523809524
exclude	1.0	1	gpt54mini	84	0.6190476190476191
exclude	1.0	2	gpt55	63	0.5555555555555556
exclude	1.0	2	gemini31pro	63	0.5555555555555556
exclude	1.0	2	gemini31flashlite	63	0.4126984126984127
exclude	1.0	2	gpt54mini	63	0.5873015873015873
exclude	1.0	3	gpt55	58	0.5344827586206896
exclude	1.0	3	gemini31pro	58	0.39655172413793105
exclude	1.0	3	gemini31flashlite	58	0.1724137931034483
exclude	1.0	3	gpt54mini	58	0.46551724137931033
zero	0.5	1	gpt55	340	0.5735294117647058
zero	0.5	1	gemini31pro	340	0.5970588235294118
zero	0.5	1	gemini31flashlite	340	0.4294117647058823
zero	0.5	1	gpt54mini	340	0.6058823529411764
zero	0.5	2	gpt55	447	0.5413870246085011
zero	0.5	2	gemini31pro	447	0.5838926174496645
zero	0.5	2	gemini31flashlite	447	0.41834451901565994
zero	0.5	2	gpt54mini	447	0.6152125279642058
zero	0.5	3	gpt55	471	0.5159235668789809
zero	0.5	3	gemini31pro	471	0.4182590233545648
zero	0.5	3	gemini31flashlite	471	0.2059447983014862
zero	0.5	3	gpt54mini	471	0.44798301486199577
zero	0.55	1	gpt55	332	0.5692771084337349
zero	0.55	1	gemini31pro	332	0.6054216867469879
zero	0.55	1	gemini31flashlite	332	0.43373493975903615
zero	0.55	1	gpt54mini	332	0.608433734939759
zero	0.55	2	gpt55	444	0.545045045045045
zero	0.55	2	gemini31pro	444	0.5833333333333334
zero	0.55	2	gemini31flashlite	444	0.4189189189189189
zero	0.55	2	gpt54mini	444	0.6171171171171171
zero	0.55	3	gpt55	466	0.5214592274678111
zero	0.55	3	gemini31pro	466	0.4206008583690987
zero	0.55	3	gemini31flashlite	466	0.20815450643776823
zero	0.55	3	gpt54mini	466	0.45064377682403434
zero	0.6	1	gpt55	332	0.5692771084337349
zero	0.6	1	gemini31pro	332	0.6054216867469879
zero	0.6	1	gemini31flashlite	332	0.43373493975903615
zero	0.6	1	gpt54mini	332	0.608433734939759
zero	0.6	2	gpt55	427	0.5456674473067916
zero	0.6	2	gemini31pro	427	0.5878220140515222
zero	0.6	2	gemini31flashlite	427	0.4168618266978923
zero	0.6	2	gpt54mini	427	0.629976580796253
zero	0.6	3	gpt55	440	0.5318181818181819
zero	0.6	3	gemini31pro	440	0.42727272727272725
zero	0.6	3	gemini31flashlite	440	0.20909090909090908
zero	0.6	3	gpt54mini	440	0.45227272727272727
zero	0.65	1	gpt55	308	0.5811688311688312
zero	0.65	1	gemini31pro	308	0.6168831168831169
zero	0.65	1	gemini31flashlite	308	0.44155844155844154
zero	0.65	1	gpt54mini	308	0.6233766233766234
zero	0.65	2	gpt55	420	0.55
zero	0.65	2	gemini31pro	420	0.5952380952380952
zero	0.65	2	gemini31flashlite	420	0.41904761904761906
zero	0.65	2	gpt54mini	420	0.6309523809523809
zero	0.65	3	gpt55	429	0.5291375291375291
zero	0.65	3	gemini31pro	429	0.42657342657342656
zero	0.65	3	gemini31flashlite	429	0.21212121212121213
zero	0.65	3	gpt54mini	429	0.44988344988344986
zero	0.7	1	gpt55	308	0.5811688311688312
zero	0.7	1	gemini31pro	308	0.6168831168831169
zero	0.7	1	gemini31flashlite	308	0.44155844155844154
zero	0.7	1	gpt54mini	308	0.6233766233766234
zero	0.7	2	gpt55	362	0.5303867403314917
zero	0.7	2	gemini31pro	362	0.5939226519337016
zero	0.7	2	gemini31flashlite	362	0.4116022099447514
zero	0.7	2	gpt54mini	362	0.6215469613259669
zero	0.7	3	gpt55	362	0.5552486187845304
zero	0.7	3	gemini31pro	362	0.45027624309392267
zero	0.7	3	gemini31flashlite	362	0.2292817679558011
zero	0.7	3	gpt54mini	362	0.4696132596685083
zero	0.75	1	gpt55	303	0.5841584158415841
zero	0.75	1	gemini31pro	303	0.6204620462046204
zero	0.75	1	gemini31flashlite	303	0.44554455445544555
zero	0.75	1	gpt54mini	303	0.6204620462046204
zero	0.75	2	gpt55	362	0.5303867403314917
zero	0.75	2	gemini31pro	362	0.5939226519337016
zero	0.75	2	gemini31flashlite	362	0.4116022099447514
zero	0.75	2	gpt54mini	362	0.6215469613259669
zero	0.75	3	gpt55	331	0.552870090634441
zero	0.75	3	gemini31pro	331	0.45317220543806647
zero	0.75	3	gemini31flashlite	331	0.2175226586102719
zero	0.75	3	gpt54mini	331	0.4622356495468278
zero	0.8	1	gpt55	225	0.5644444444444444
zero	0.8	1	gemini31pro	225	0.64
zero	0.8	1	gemini31flashlite	225	0.44
zero	0.8	1	gpt54mini	225	0.6266666666666667
zero	0.8	2	gpt55	265	0.5509433962264151
zero	0.8	2	gemini31pro	265	0.6226415094339622
zero	0.8	2	gemini31flashlite	265	0.4188679245283019
zero	0.8	2	gpt54mini	265	0.6339622641509434
zero	0.8	3	gpt55	269	0.5724907063197026
zero	0.8	3	gemini31pro	269	0.4795539033457249
zero	0.8	3	gemini31flashlite	269	0.22676579925650558
zero	0.8	3	gpt54mini	269	0.49070631970260226
zero	0.85	1	gpt55	225	0.5644444444444444
zero	0.85	1	gemini31pro	225	0.64
zero	0.85	1	gemini31flashlite	225	0.44
zero	0.85	1	gpt54mini	225	0.6266666666666667
zero	0.85	2	gpt55	265	0.5509433962264151
zero	0.85	2	gemini31pro	265	0.6226415094339622
zero	0.85	2	gemini31flashlite	265	0.4188679245283019
zero	0.85	2	gpt54mini	265	0.6339622641509434
zero	0.85	3	gpt55	238	0.5672268907563025
zero	0.85	3	gemini31pro	238	0.49159663865546216
zero	0.85	3	gemini31flashlite	238	0.23109243697478993
zero	0.85	3	gpt54mini	238	0.49159663865546216
zero	0.9	1	gpt55	84	0.5476190476190477
zero	0.9	1	gemini31pro	84	0.6428571428571429
zero	0.9	1	gemini31flashlite	84	0.4523809523809524
zero	0.9	1	gpt54mini	84	0.6190476190476191
zero	0.9	2	gpt55	62	0.5645161290322581
zero	0.9	2	gemini31pro	62	0.5645161290322581
zero	0.9	2	gemini31flashlite	62	0.41935483870967744
zero	0.9	2	gpt54mini	62	0.5967741935483871
zero	0.9	3	gpt55	102	0.5392156862745098
zero	0.9	3	gemini31pro	102	0.45098039215686275
zero	0.9	3	gemini31flashlite	102	0.22549019607843138
zero	0.9	3	gpt54mini	102	0.5294117647058824
zero	0.95	1	gpt55	84	0.5476190476190477
zero	0.95	1	gemini31pro	84	0.6428571428571429
zero	0.95	1	gemini31flashlite	84	0.4523809523809524
zero	0.95	1	gpt54mini	84	0.6190476190476191
zero	0.95	2	gpt55	62	0.5645161290322581
zero	0.95	2	gemini31pro	62	0.5645161290322581
zero	0.95	2	gemini31flashlite	62	0.41935483870967744
zero	0.95	2	gpt54mini	62	0.5967741935483871
zero	0.95	3	gpt55	57	0.543859649122807
zero	0.95	3	gemini31pro	57	0.40350877192982454
zero	0.95	3	gemini31flashlite	57	0.17543859649122806
