unsure_mode	pass_frac	qa_type	n	acc_gem	acc_gpt	diff	b	c	mcnemar_p	cluster_diff_mean	cluster95_lo	cluster95_hi	leader_matches_pf75	holm_significant
exclude	0.95	1	84	0.6428571428571429	0.5476190476190477	0.0952380952380952	17	9	0.1686375439167022	0.095588834917855	-0.0232558139534884	0.2098765432098765	True	False
exclude	0.95	2	63	0.5555555555555556	0.5555555555555556	0.0	11	11	1.0	0.0018210804117417	-0.140625	0.1475409836065574	False	False
exclude	0.95	3	58	0.396551724137931	0.5344827586206896	-0.1379310344827585	6	14	0.1153182983398437	-0.1376452257146046	-0.2678571428571429	0.0	True	False
exclude	1.0	1	84	0.6428571428571429	0.5476190476190477	0.0952380952380952	17	9	0.1686375439167022	0.0951551007804398	-0.0235294117647059	0.2117647058823529	True	False
exclude	1.0	2	63	0.5555555555555556	0.5555555555555556	0.0	11	11	1.0	-0.000266417833819	-0.1451612903225806	0.1475409836065573	False	False
exclude	1.0	3	58	0.396551724137931	0.5344827586206896	-0.1379310344827585	6	14	0.1153182983398437	-0.138604800799307	-0.2692307692307692	-0.0163934426229507	True	False
zero	0.5	1	340	0.5970588235294118	0.5735294117647058	0.0235294117647059	62	54	0.5159130749957945	0.0237787835745944	-0.0390407166943479	0.0863095238095238	True	False
zero	0.5	2	447	0.5838926174496645	0.5413870246085011	0.0425055928411634	82	63	0.1346854031809764	0.0427534135825967	-0.0107991360691144	0.0954700632977066	True	False
zero	0.5	3	471	0.4182590233545648	0.5159235668789809	-0.0976645435244161	64	110	0.0006052447871282	-0.0978537087036462	-0.1582440476190475	-0.0387093489258261	True	True
zero	0.55	1	332	0.6054216867469879	0.5692771084337349	0.036144578313253	62	50	0.2985928528328461	0.0357506775646246	-0.0273050509870638	0.0985074626865671	True	False
zero	0.55	2	444	0.5833333333333334	0.545045045045045	0.0382882882882883	80	63	0.1807010858414857	0.03792840777811	-0.0135440180586906	0.0913045899099448	True	False
zero	0.55	3	466	0.4206008583690987	0.5214592274678111	-0.1008583690987124	63	110	0.0004368915202139	-0.1006349911994884	-0.1612200435729848	-0.0398276674147342	True	True
zero	0.6	1	332	0.6054216867469879	0.5692771084337349	0.036144578313253	62	50	0.2985928528328461	0.0359224482013287	-0.0251592167132908	0.0981608786152497	True	False
zero	0.6	2	427	0.5878220140515222	0.5456674473067916	0.0421545667447306	79	61	0.1505276971716133	0.0423493261761246	-0.0117405740858452	0.0964726166328599	True	False
zero	0.6	3	440	0.4272727272727272	0.5318181818181819	-0.1045454545454546	58	104	0.0003750396788702	-0.1045831841178936	-0.1643526445966515	-0.0448430493273542	True	True
zero	0.65	1	308	0.6168831168831169	0.5811688311688312	0.0357142857142857	57	46	0.3244787802880658	0.0356523115948451	-0.0305084745762712	0.1019753625134264	True	False
zero	0.65	2	420	0.5952380952380952	0.55	0.0452380952380951	78	59	0.1237748250774765	0.0458435618434743	-0.0070930408854298	0.1002181130614736	True	False
zero	0.65	3	429	0.4265734265734265	0.5291375291375291	-0.1025641025641025	57	101	0.0005801270686892	-0.1025760864805633	-0.1644144144144144	-0.0418716347806163	True	True
zero	0.7	1	308	0.6168831168831169	0.5811688311688312	0.0357142857142857	57	46	0.3244787802880658	0.0353890501242441	-0.0301008381351493	0.1016461313563746	True	False
zero	0.7	2	362	0.5939226519337016	0.5303867403314917	0.0635359116022099	72	49	0.0450517397257358	0.0635024828253518	0.005249343832021	0.1224504331647188	True	False
zero	0.7	3	362	0.4502762430939226	0.5552486187845304	-0.1049723756906076	49	87	0.0014186377419933	-0.1049302642741262	-0.1712542450200212	-0.0408705444030472	True	True
zero	0.75	1	303	0.6204620462046204	0.5841584158415841	0.0363036303630363	56	45	0.3197273207002655	0.0365203274937062	-0.0291262135922329	0.1019189678679716	True	False
zero	0.75	2	362	0.5939226519337016	0.5303867403314917	0.0635359116022099	72	49	0.0450517397257358	0.0632773363045152	0.0053904732921774	0.1229061727264401	True	False
zero	0.75	3	331	0.4531722054380664	0.552870090634441	-0.0996978851963745	45	78	0.0037314457550981	-0.1001507179079511	-0.1661844708209693	-0.0332326283987915	True	True
zero	0.8	1	225	0.64	0.5644444444444444	0.0755555555555556	45	28	0.0603700373399285	0.0755817819574392	0.0	0.1486486486486486	True	False
zero	0.8	2	265	0.6226415094339622	0.5509433962264151	0.0716981132075471	53	34	0.0530031130109622	0.0713282104264439	0.0	0.1396226415094339	True	False
zero	0.8	3	269	0.4795539033457249	0.5724907063197026	-0.0929368029739776	36	61	0.0143896330070956	-0.0933223924421009	-0.1647940074906366	-0.025735294117647	True	True
zero	0.85	1	225	0.64	0.5644444444444444	0.0755555555555556	45	28	0.0603700373399285	0.0756573562759266	0.0042008053221288	0.147982062780269	True	False
zero	0.85	2	265	0.6226415094339622	0.5509433962264151	0.0716981132075471	53	34	0.0530031130109622	0.0723814504160495	0.0037453183520599	0.1403592155293175	True	False
zero	0.85	3	238	0.4915966386554621	0.5672268907563025	-0.0756302521008403	34	52	0.0661525974613892	-0.0749634690657959	-0.1515182563338301	0.0	True	False
zero	0.9	1	84	0.6428571428571429	0.5476190476190477	0.0952380952380952	17	9	0.1686375439167022	0.0955992728536016	-0.0235294117647058	0.2117647058823529	True	False
